For when we accept that life is hard we will also realize that only through strength and character we have a chance of living a good life.;Karl Jung
Dopamine is not about the pursuit of happiness but about the happiness of pursuit.;Robert Sapolsky
True happiness is not found in maximizing time spent in leisure activities. Rather it is a byproduct of voluntary efforts in the service of personal growth and meaningful goals.;Friedrich Nietzsche
Make your plan. Decide what kind of man you want to be. Develop the skills to be that man.;Jordan Peterson
Do not sacrifice the thing you want for the thing that is supposed to get it.;Chris Williamson
To ask the right question is already half the solution of a problem.;Karl Jung
I am not what happened to me, I am what I choose to become.;Karl Jung
Try not to become a person of success. Rather try to become a person of value.;Albert Einstein
Success is getting what you want. Happiness is wanting what you get.;Dale Carnegie
As soon as you trust yourself, you will know how to live.;Goethe
Happiness is when what you think, what you say, and what you do are in harmony.;Mahatma Gandhi
There is no path to happiness: happiness is the path.;Buddha
Judge a man by his questions rather than by his answers.;Voltaire
Be the kind of guy who refuses to quit after failures.;Angela Duckworth
Be the kind of guy who doesn't cut corners.;David Goggings
